text,label,cleansing,casefolding,tokenizing,stopword
jd driver shopeefood mahal bgt anjir,negatif,jd driver mahal bgt anjir,jd driver mahal bgt anjir,"['jd', 'driver', 'mahal', 'bgt', 'anjir']",jd driver mahal bgt anjir
@ryudae21 @sitaeil Kalo shopee food ongkirnya murahan kah? Maap nimbrung,netral,kalo ongkirnya murahan kah maap nimbrung,kalo ongkirnya murahan kah maap nimbrung,"['kalo', 'ongkirnya', 'murahan', 'kah', 'maap', 'nimbrung']",kalo ongkirnya murahan kah maap nimbrung
@rainbowonsky_ @worksfess Aku kurang tau siy cm br denger yg impactedbesar  SPay sm Shopee Food kak. Kl ikutin MurzTea nya akun ecommurz sempet dibahas jg perpindahan ops ke Jateng jd emg yg kontrak ada yg gak dilanjutin hehehe.,negatif,aku kurang tau siy cm br denger yg impactedbesar spay sm kak kl ikutin murztea nya akun ecommurz sempet dibahas jg perpindahan ops ke jateng jd emg yg kontrak ada yg gak dilanjutin hehehe,aku kurang tau siy cm br denger yg impactedbesar spay sm kak kl ikutin murztea nya akun ecommurz sempet dibahas jg perpindahan ops ke jateng jd emg yg kontrak ada yg gak dilanjutin hehehe,"['aku', 'kurang', 'tau', 'siy', 'cm', 'br', 'denger', 'yg', 'impactedbesar', 'spay', 'sm', 'kak', 'kl', 'ikutin', 'murztea', 'nya', 'akun', 'ecommurz', 'sempet', 'dibahas', 'jg', 'perpindahan', 'ops', 'ke', 'jateng', 'jd', 'emg', 'yg', 'kontrak', 'ada', 'yg', 'gak', 'dilanjutin', 'hehehe']",tau siy cm br denger yg impactedbesar spay sm kak kl ikutin murztea nya akun ecommurz sempet dibahas jg perpindahan ops jateng jd emg yg kontrak yg gak dilanjutin hehehe
Gua pencinta shopeefood lagi __,positif,gua pencinta lagi,gua pencinta lagi,"['gua', 'pencinta', 'lagi']",gua pencinta
dah setengah jam cari nak makan apa dekat grab foodpanda shopeefood tapi still taktahu nak makan apa :š),negatif,dah setengah jam cari nak makan apa dekat grab foodpanda tapi still taktahu nak makan apa,dah setengah jam cari nak makan apa dekat grab foodpanda tapi still taktahu nak makan apa,"['dah', 'setengah', 'jam', 'cari', 'nak', 'makan', 'apa', 'dekat', 'grab', 'foodpanda', 'tapi', 'still', 'taktahu', 'nak', 'makan', 'apa']",dah jam cari nak makan grab foodpanda still taktahu nak makan
@worksfess Shopee food khususnya dan beberapa starap lainnya,positif,khususnya dan beberapa starap lainnya,khususnya dan beberapa starap lainnya,"['khususnya', 'dan', 'beberapa', 'starap', 'lainnya']",starap
@Fitri_Greens klu driver shopeefood itu mitra kak bukan karyawan,netral,klu driver itu mitra kak bukan karyawan,klu driver itu mitra kak bukan karyawan,"['klu', 'driver', 'itu', 'mitra', 'kak', 'bukan', 'karyawan']",klu driver mitra kak karyawan
@convomf Azliiii. Mending masak atau shopeefood,netral,azliiii mending masak atau,azliiii mending masak atau,"['azliiii', 'mending', 'masak', 'atau']",azliiii mending masak
"@txtfrombrand Jgnkan pegawai, driver shopeefood jg pada di pm in wkwkwk",netral,jgnkan pegawai driver jg pada di pm in wkwkwk,jgnkan pegawai driver jg pada di pm in wkwkwk,"['jgnkan', 'pegawai', 'driver', 'jg', 'pada', 'di', 'pm', 'in', 'wkwkwk']",jgnkan pegawai driver jg pm in wkwkwk
Trnyata disini blm ada Shopee food,negatif,trnyata disini blm ada,trnyata disini blm ada,"['trnyata', 'disini', 'blm', 'ada']",trnyata blm
@worksfess Kalo beritanya di klik juga ada keterangan yg ter-impact Shopee Food &amp; Shopee Pay. Even tmn2 ku yg di Tech Industry emg lg ketar-ketir jg saat ini,negatif,kalo beritanya di klik juga ada keterangan yg terimpact amp pay even tmn ku yg di tech industry emg lg ketarketir jg saat ini,kalo beritanya di klik juga ada keterangan yg terimpact amp pay even tmn ku yg di tech industry emg lg ketarketir jg saat ini,"['kalo', 'beritanya', 'di', 'klik', 'juga', 'ada', 'keterangan', 'yg', 'terimpact', 'amp', 'pay', 'even', 'tmn', 'ku', 'yg', 'di', 'tech', 'industry', 'emg', 'lg', 'ketarketir', 'jg', 'saat', 'ini']",kalo beritanya klik keterangan yg terimpact amp pay even tmn ku yg tech industry emg lg ketarketir jg
akhirnya beli reddog nyoba lewat shopeefood. meskipun dia ongkirnya mahal tp ada voucher2 gt yah jdnya murah juga,netral,akhirnya beli reddog nyoba lewat meskipun dia ongkirnya mahal tp ada voucher gt yah jdnya murah juga,akhirnya beli reddog nyoba lewat meskipun dia ongkirnya mahal tp ada voucher gt yah jdnya murah juga,"['akhirnya', 'beli', 'reddog', 'nyoba', 'lewat', 'meskipun', 'dia', 'ongkirnya', 'mahal', 'tp', 'ada', 'voucher', 'gt', 'yah', 'jdnya', 'murah', 'juga']",beli reddog nyoba ongkirnya mahal tp voucher gt yah jdnya murah
ohmaiii heavennyaaa gula cakery dah masuk shopeefood ahhh nom nom nom __,positif,ohmaiii heavennyaaa gula cakery dah masuk ahhh nom nom nom,ohmaiii heavennyaaa gula cakery dah masuk ahhh nom nom nom,"['ohmaiii', 'heavennyaaa', 'gula', 'cakery', 'dah', 'masuk', 'ahhh', 'nom', 'nom', 'nom']",ohmaiii heavennyaaa gula cakery dah masuk ahhh nom nom nom
@Nurnabill Weh i baru check shopeefood omg banyaknya voucherrr,positif,weh i baru check omg banyaknya voucherrr,weh i baru check omg banyaknya voucherrr,"['weh', 'i', 'baru', 'check', 'omg', 'banyaknya', 'voucherrr']",weh i check omg banyaknya voucherrr
collect coins bebanyak dekat shopee so boleh dapat discount kalau beli shopee food! hehe,positif,collect coins bebanyak dekat so boleh dapat discount kalau beli hehe,collect coins bebanyak dekat so boleh dapat discount kalau beli hehe,"['collect', 'coins', 'bebanyak', 'dekat', 'so', 'boleh', 'dapat', 'discount', 'kalau', 'beli', 'hehe']",collect coins bebanyak so discount beli hehe
@txtfrombrand termasuk ngaruh juga ke shopeefood kah? atau beda?,netral,termasuk ngaruh juga ke kah atau beda,termasuk ngaruh juga ke kah atau beda,"['termasuk', 'ngaruh', 'juga', 'ke', 'kah', 'atau', 'beda']",ngaruh kah beda
"@AETHERYBIA terus susah waktu buat masak juga, karena sibuk mgerjain orderan __ tp kadang jajan shopeefood sih",netral,terus susah waktu buat masak juga karena sibuk mgerjain orderan tp kadang jajan sih,terus susah waktu buat masak juga karena sibuk mgerjain orderan tp kadang jajan sih,"['terus', 'susah', 'waktu', 'buat', 'masak', 'juga', 'karena', 'sibuk', 'mgerjain', 'orderan', 'tp', 'kadang', 'jajan', 'sih']",susah masak sibuk mgerjain orderan tp kadang jajan sih
@Presdirektur @Hyandi_ @txtfrombrand Sama nih jaket sama helm shopeefood jadi pajangan doang wkwk semenjak abis lebaran order sepi jadi mager narik,negatif,sama nih jaket sama helm jadi pajangan doang wkwk semenjak abis lebaran order sepi jadi mager narik,sama nih jaket sama helm jadi pajangan doang wkwk semenjak abis lebaran order sepi jadi mager narik,"['sama', 'nih', 'jaket', 'sama', 'helm', 'jadi', 'pajangan', 'doang', 'wkwk', 'semenjak', 'abis', 'lebaran', 'order', 'sepi', 'jadi', 'mager', 'narik']",nih jaket helm pajangan doang wkwk semenjak abis lebaran order sepi mager narik
Biaya layanan shopeefood naik lagi jadi 6k? Dah nggak pake lagi deh,negatif,biaya layanan naik lagi jadi k dah nggak pake lagi deh,biaya layanan naik lagi jadi k dah nggak pake lagi deh,"['biaya', 'layanan', 'naik', 'lagi', 'jadi', 'k', 'dah', 'nggak', 'pake', 'lagi', 'deh']",biaya layanan k dah nggak pake deh
"@mcdreamyiy di bji ada mirrr, dari intermedia deket korpri lurussss trs belok kanan nanti ada disituu abangnya pake gerobak, bisa gofood ato shopeefood juga namanya Lumpia Basah Seblak AL",positif,di bji ada mirrr dari intermedia deket korpri lurussss trs belok kanan nanti ada disituu abangnya pake gerobak bisa gofood ato juga namanya lumpia basah seblak al,di bji ada mirrr dari intermedia deket korpri lurussss trs belok kanan nanti ada disituu abangnya pake gerobak bisa gofood ato juga namanya lumpia basah seblak al,"['di', 'bji', 'ada', 'mirrr', 'dari', 'intermedia', 'deket', 'korpri', 'lurussss', 'trs', 'belok', 'kanan', 'nanti', 'ada', 'disituu', 'abangnya', 'pake', 'gerobak', 'bisa', 'gofood', 'ato', 'juga', 'namanya', 'lumpia', 'basah', 'seblak', 'al']",bji mirrr intermedia deket korpri lurussss trs belok kanan disituu abangnya pake gerobak gofood ato namanya lumpia basah seblak al
@amorfatille @txtfrombrand Sebagai pembeli aku dari Gofood pindah ke Shopeefood karena Gojek jarang/tidak ada promo lagi. Dan di Shopee juga cari resto yang ada voucher diskon 55% atau 60% __,netral,sebagai pembeli aku dari gofood pindah ke karena gojek jarangtidak ada promo lagi dan di juga cari resto yang ada voucher diskon atau,sebagai pembeli aku dari gofood pindah ke karena gojek jarangtidak ada promo lagi dan di juga cari resto yang ada voucher diskon atau,"['sebagai', 'pembeli', 'aku', 'dari', 'gofood', 'pindah', 'ke', 'karena', 'gojek', 'jarangtidak', 'ada', 'promo', 'lagi', 'dan', 'di', 'juga', 'cari', 'resto', 'yang', 'ada', 'voucher', 'diskon', 'atau']",pembeli gofood pindah gojek jarangtidak promo cari resto voucher diskon
@trndnsa Hah emg ongkirnye brp ayi? Pake shopeefood cb biasanye ada potongan gratis ongkir.,netral,hah emg ongkirnye brp ayi pake cb biasanye ada potongan gratis ongkir,hah emg ongkirnye brp ayi pake cb biasanye ada potongan gratis ongkir,"['hah', 'emg', 'ongkirnye', 'brp', 'ayi', 'pake', 'cb', 'biasanye', 'ada', 'potongan', 'gratis', 'ongkir']",hah emg ongkirnye brp ayi pake cb biasanye potongan gratis ongkir
nak order apa pun tak tahu laaa kat Shopee Food ni,negatif,nak order apa pun tak tahu laaa kat ni,nak order apa pun tak tahu laaa kat ni,"['nak', 'order', 'apa', 'pun', 'tak', 'tahu', 'laaa', 'kat', 'ni']",nak order laaa kat ni
Jimat sikit jela. Sebab masih order makanan online juga. Cuma through shopee food atau grabfood jela. Haha.,netral,jimat sikit jela sebab masih order makanan online juga cuma through atau grabfood jela haha,jimat sikit jela sebab masih order makanan online juga cuma through atau grabfood jela haha,"['jimat', 'sikit', 'jela', 'sebab', 'masih', 'order', 'makanan', 'online', 'juga', 'cuma', 'through', 'atau', 'grabfood', 'jela', 'haha']",jimat sikit jela order makanan online through grabfood jela haha
"@zclaeruleus abang"" shopee food meresahkan____",negatif,abang meresahkan,abang meresahkan,"['abang', 'meresahkan']",abang meresahkan
"buat abang shopee food dimohon kalo nganter makanan itu pakek jaketnya bang, anda masih muda ke rumah saya bawain makanan ga pakek jaket shopee food nih berasa saya punya ayang dadakan __",negatif,buat abang dimohon kalo nganter makanan itu pakek jaketnya bang anda masih muda ke rumah saya bawain makanan ga pakek jaket nih berasa saya punya ayang dadakan,buat abang dimohon kalo nganter makanan itu pakek jaketnya bang anda masih muda ke rumah saya bawain makanan ga pakek jaket nih berasa saya punya ayang dadakan,"['buat', 'abang', 'dimohon', 'kalo', 'nganter', 'makanan', 'itu', 'pakek', 'jaketnya', 'bang', 'anda', 'masih', 'muda', 'ke', 'rumah', 'saya', 'bawain', 'makanan', 'ga', 'pakek', 'jaket', 'nih', 'berasa', 'saya', 'punya', 'ayang', 'dadakan']",abang dimohon kalo nganter makanan pakek jaketnya bang muda rumah bawain makanan ga pakek jaket nih berasa ayang dadakan
"Pembuangan pekerja akan menjejaskan beberapa operasi terutamanya pekerja ShopeeFood dan ShopeePay di beberapa pasaran, kata salah satu sumber.  

Selain daripada pasaran asalnya di Asia Tenggara, syarikat itu juga ada di Taiwan, Brazil, Mexico, Chile dan Colombia.",netral,pembuangan pekerja akan menjejaskan beberapa operasi terutamanya pekerja dan shopeepay di beberapa pasaran kata salah satu sumber selain daripada pasaran asalnya di asia tenggara syarikat itu juga ada di taiwan brazil mexico chile dan colombia,pembuangan pekerja akan menjejaskan beberapa operasi terutamanya pekerja dan shopeepay di beberapa pasaran kata salah satu sumber selain daripada pasaran asalnya di asia tenggara syarikat itu juga ada di taiwan brazil mexico chile dan colombia,"['pembuangan', 'pekerja', 'akan', 'menjejaskan', 'beberapa', 'operasi', 'terutamanya', 'pekerja', 'dan', 'shopeepay', 'di', 'beberapa', 'pasaran', 'kata', 'salah', 'satu', 'sumber', 'selain', 'daripada', 'pasaran', 'asalnya', 'di', 'asia', 'tenggara', 'syarikat', 'itu', 'juga', 'ada', 'di', 'taiwan', 'brazil', 'mexico', 'chile', 'dan', 'colombia']",pembuangan pekerja menjejaskan operasi terutamanya pekerja shopeepay pasaran salah sumber pasaran asalnya asia tenggara syarikat taiwan brazil mexico chile colombia
akhir2 ini sering dpt driver shopeefood ibu2 __,netral,akhir ini sering dpt driver ibu,akhir ini sering dpt driver ibu,"['akhir', 'ini', 'sering', 'dpt', 'driver', 'ibu']",dpt driver
@kadangteledor @txtfrombrand Iyo wkwk shopeefood ambe shopeepay e pral,netral,iyo wkwk ambe shopeepay e pral,iyo wkwk ambe shopeepay e pral,"['iyo', 'wkwk', 'ambe', 'shopeepay', 'e', 'pral']",iyo wkwk ambe shopeepay e pral
@BeginiCeritany1 @Geegeehn1 @ecommurz mitra di sini maksudnya driver shopeefood ga si,netral,mitra di sini maksudnya driver ga si,mitra di sini maksudnya driver ga si,"['mitra', 'di', 'sini', 'maksudnya', 'driver', 'ga', 'si']",mitra maksudnya driver ga si
@BukanPegawaiJP Makanya waktunya shopeefood berjaya ini,positif,makanya waktunya berjaya ini,makanya waktunya berjaya ini,"['makanya', 'waktunya', 'berjaya', 'ini']",berjaya
@ranggarila @txtfrombrand kalo diberitanya yg kena itu yg di bagian shopeefood sama shopeepay kemungkinan itu hiring buat ecommercenya jadi beda,netral,kalo diberitanya yg kena itu yg di bagian sama shopeepay kemungkinan itu hiring buat ecommercenya jadi beda,kalo diberitanya yg kena itu yg di bagian sama shopeepay kemungkinan itu hiring buat ecommercenya jadi beda,"['kalo', 'diberitanya', 'yg', 'kena', 'itu', 'yg', 'di', 'bagian', 'sama', 'shopeepay', 'kemungkinan', 'itu', 'hiring', 'buat', 'ecommercenya', 'jadi', 'beda']",kalo diberitanya yg kena yg shopeepay hiring ecommercenya beda
"@muslerrrr @muslerrrr Hai, terima kasih atas minat anda terhadap ShopeeFood. Kami akan meluaskan servis ShopeeFood dari semasa ke semasa ya. Staytune! __

JH",positif,hai terima kasih atas minat anda terhadap kami akan meluaskan servis dari semasa ke semasa ya staytune jh,hai terima kasih atas minat anda terhadap kami akan meluaskan servis dari semasa ke semasa ya staytune jh,"['hai', 'terima', 'kasih', 'atas', 'minat', 'anda', 'terhadap', 'kami', 'akan', 'meluaskan', 'servis', 'dari', 'semasa', 'ke', 'semasa', 'ya', 'staytune', 'jh']",hai terima kasih minat meluaskan servis ya staytune jh
@andiseptiana7 Bukannya selalu buka ya kalo driver shopee food?,netral,bukannya selalu buka ya kalo driver,bukannya selalu buka ya kalo driver,"['bukannya', 'selalu', 'buka', 'ya', 'kalo', 'driver']",buka ya kalo driver
@txtfrombrand udah dimulai. dari pemutusan mitra driver shopeefood &amp; shopee express secara sepihak dari bulan mei,negatif,udah dimulai dari pemutusan mitra driver amp express secara sepihak dari bulan mei,udah dimulai dari pemutusan mitra driver amp express secara sepihak dari bulan mei,"['udah', 'dimulai', 'dari', 'pemutusan', 'mitra', 'driver', 'amp', 'express', 'secara', 'sepihak', 'dari', 'bulan', 'mei']",udah pemutusan mitra driver amp express mei
@txtfrombrand nasib gw sbagai driver shopeefood gimana klo sampek tutup,negatif,nasib gw sbagai driver gimana klo sampek tutup,nasib gw sbagai driver gimana klo sampek tutup,"['nasib', 'gw', 'sbagai', 'driver', 'gimana', 'klo', 'sampek', 'tutup']",nasib gw sbagai driver gimana klo sampek tutup
"@cheeseburggeerr beli makan gihh, udh aku isiin saldo shopee food",positif,beli makan gihh udh aku isiin saldo,beli makan gihh udh aku isiin saldo,"['beli', 'makan', 'gihh', 'udh', 'aku', 'isiin', 'saldo']",beli makan gihh udh isiin saldo
"@donnnalter Bismillah semoga jadi rezeki aku, aku baru mulai mau jadi driver shopee food dan kadang hp ku suka ngelag, buat buka maps aja kadang gak bisa, dan belum ada uang buat beli yang baru soalnya masih harus bayar tagihan listrik, bayar utang dan bayar uang kuliah hehe, bismillah",netral,bismillah semoga jadi rezeki aku aku baru mulai mau jadi driver dan kadang hp ku suka ngelag buat buka maps aja kadang gak bisa dan belum ada uang buat beli yang baru soalnya masih harus bayar tagihan listrik bayar utang dan bayar uang kuliah hehe bismillah,bismillah semoga jadi rezeki aku aku baru mulai mau jadi driver dan kadang hp ku suka ngelag buat buka maps aja kadang gak bisa dan belum ada uang buat beli yang baru soalnya masih harus bayar tagihan listrik bayar utang dan bayar uang kuliah hehe bismillah,"['bismillah', 'semoga', 'jadi', 'rezeki', 'aku', 'aku', 'baru', 'mulai', 'mau', 'jadi', 'driver', 'dan', 'kadang', 'hp', 'ku', 'suka', 'ngelag', 'buat', 'buka', 'maps', 'aja', 'kadang', 'gak', 'bisa', 'dan', 'belum', 'ada', 'uang', 'buat', 'beli', 'yang', 'baru', 'soalnya', 'masih', 'harus', 'bayar', 'tagihan', 'listrik', 'bayar', 'utang', 'dan', 'bayar', 'uang', 'kuliah', 'hehe', 'bismillah']",bismillah semoga rezeki driver kadang hp ku suka ngelag buka maps aja kadang gak uang beli bayar tagihan listrik bayar utang bayar uang kuliah hehe bismillah
@ranggarila @txtfrombrand Yg di phk bgian shopeefood n shopeepay,netral,yg di phk bgian n shopeepay,yg di phk bgian n shopeepay,"['yg', 'di', 'phk', 'bgian', 'n', 'shopeepay']",yg phk bgian n shopeepay
"@txtfrombrand Shopee udah menutup Bisnisnya di Prancis sktr 5 bulan yg lalu,Shopee juga udah menutup bisnisnya di India sekitar 6 bulan lalu.PHK secara massif dalam waktu dekat dan paling terdampak itu ShopeeFood dan Shoope Pay.",negatif,udah menutup bisnisnya di prancis sktr bulan yg lalushopee juga udah menutup bisnisnya di india sekitar bulan laluphk secara massif dalam waktu dekat dan paling terdampak itu dan shoope pay,udah menutup bisnisnya di prancis sktr bulan yg lalushopee juga udah menutup bisnisnya di india sekitar bulan laluphk secara massif dalam waktu dekat dan paling terdampak itu dan shoope pay,"['udah', 'menutup', 'bisnisnya', 'di', 'prancis', 'sktr', 'bulan', 'yg', 'lalushopee', 'juga', 'udah', 'menutup', 'bisnisnya', 'di', 'india', 'sekitar', 'bulan', 'laluphk', 'secara', 'massif', 'dalam', 'waktu', 'dekat', 'dan', 'paling', 'terdampak', 'itu', 'dan', 'shoope', 'pay']",udah menutup bisnisnya prancis sktr yg lalushopee udah menutup bisnisnya india laluphk massif terdampak shoope pay
"ShopeeFood ni bangang level dewa ye, smlm order kfc, dia bg rider jauh 10km dari outlet smpai rider call minta cancel but both tk bolehš hari ni makanan ada dlm list but then outlet call kata tak available so minta tukar dgn item lain eh sual betul, better aku tkyah amik la njir",negatif,ni bangang level dewa ye smlm order kfc dia bg rider jauh km dari outlet smpai rider call minta cancel but both tk boleh hari ni makanan ada dlm list but then outlet call kata tak available so minta tukar dgn item lain eh sual betul better aku tkyah amik la njir,ni bangang level dewa ye smlm order kfc dia bg rider jauh km dari outlet smpai rider call minta cancel but both tk boleh hari ni makanan ada dlm list but then outlet call kata tak available so minta tukar dgn item lain eh sual betul better aku tkyah amik la njir,"['ni', 'bangang', 'level', 'dewa', 'ye', 'smlm', 'order', 'kfc', 'dia', 'bg', 'rider', 'jauh', 'km', 'dari', 'outlet', 'smpai', 'rider', 'call', 'minta', 'cancel', 'but', 'both', 'tk', 'boleh', 'hari', 'ni', 'makanan', 'ada', 'dlm', 'list', 'but', 'then', 'outlet', 'call', 'kata', 'tak', 'available', 'so', 'minta', 'tukar', 'dgn', 'item', 'lain', 'eh', 'sual', 'betul', 'better', 'aku', 'tkyah', 'amik', 'la', 'njir']",ni bangang level dewa ye smlm order kfc bg rider km outlet smpai rider call cancel but both tk ni makanan dlm list but then outlet call available so tukar dgn item eh sual better tkyah amik la njir
oyi rekomendasi warung shopeefood terBaik mrnurut kalian. Jgn lupa di ss ya! makasi,positif,oyi rekomendasi warung terbaik mrnurut kalian jgn lupa di ss ya makasi,oyi rekomendasi warung terbaik mrnurut kalian jgn lupa di ss ya makasi,"['oyi', 'rekomendasi', 'warung', 'terbaik', 'mrnurut', 'kalian', 'jgn', 'lupa', 'di', 'ss', 'ya', 'makasi']",oyi rekomendasi warung terbaik mrnurut jgn lupa ss ya makasi
@adjipradana21 @adit_wildan @txtfrombrand Kemarin sliweran di timeline kabarnya cuma bagian ShopeePay &amp; ShopeeFood aja bang,netral,kemarin sliweran di timeline kabarnya cuma bagian shopeepay amp aja bang,kemarin sliweran di timeline kabarnya cuma bagian shopeepay amp aja bang,"['kemarin', 'sliweran', 'di', 'timeline', 'kabarnya', 'cuma', 'bagian', 'shopeepay', 'amp', 'aja', 'bang']",kemarin sliweran timeline kabarnya shopeepay amp aja bang
"@Laze92_ Lebih mantap kalau ""Gausah makan diluar ya, shopeefood aja soalnya hari ini ada gratis ongkir + diskon 60%"" __

Lumayan marketing
Cc: @shopeefood_id @ShopeeID",positif,lebih mantap kalau gausah makan diluar ya aja soalnya hari ini ada gratis ongkir diskon lumayan marketing cc,lebih mantap kalau gausah makan diluar ya aja soalnya hari ini ada gratis ongkir diskon lumayan marketing cc,"['lebih', 'mantap', 'kalau', 'gausah', 'makan', 'diluar', 'ya', 'aja', 'soalnya', 'hari', 'ini', 'ada', 'gratis', 'ongkir', 'diskon', 'lumayan', 'marketing', 'cc']",mantap gausah makan diluar ya aja gratis ongkir diskon lumayan marketing cc
@mbahtejo @_BangFu Ayo kita pake logika fuad mas. šAda masalah apa sama Shopeefood &amp; ums? Kog di bawa bawaš. Kira kira harus gimana mas?,netral,ayo kita pake logika fuad mas ada masalah apa sama amp ums kog di bawa bawa kira kira harus gimana mas,ayo kita pake logika fuad mas ada masalah apa sama amp ums kog di bawa bawa kira kira harus gimana mas,"['ayo', 'kita', 'pake', 'logika', 'fuad', 'mas', 'ada', 'masalah', 'apa', 'sama', 'amp', 'ums', 'kog', 'di', 'bawa', 'bawa', 'kira', 'kira', 'harus', 'gimana', 'mas']",ayo pake logika fuad mas amp ums kog bawa bawa gimana mas
"asli Goli enak bgtttt___ kobisa ya makanan seenak itu sepi pengunjung.. pas bgt lg pengen makan nasi uduk, tp di shopeefood gaada, dan trnyt nasinya goli mirip sama nasi uduk___",positif,asli goli enak bgtttt kobisa ya makanan seenak itu sepi pengunjung pas bgt lg pengen makan nasi uduk tp di gaada dan trnyt nasinya goli mirip sama nasi uduk,asli goli enak bgtttt kobisa ya makanan seenak itu sepi pengunjung pas bgt lg pengen makan nasi uduk tp di gaada dan trnyt nasinya goli mirip sama nasi uduk,"['asli', 'goli', 'enak', 'bgtttt', 'kobisa', 'ya', 'makanan', 'seenak', 'itu', 'sepi', 'pengunjung', 'pas', 'bgt', 'lg', 'pengen', 'makan', 'nasi', 'uduk', 'tp', 'di', 'gaada', 'dan', 'trnyt', 'nasinya', 'goli', 'mirip', 'sama', 'nasi', 'uduk']",asli goli enak bgtttt kobisa ya makanan seenak sepi pengunjung pas bgt lg pengen makan nasi uduk tp gaada trnyt nasinya goli nasi uduk
"ketemu sama cowo
sama sama capricorn
bulannya sama
tanggalnya beda sehari doang
sama sama punya tattoo
sama sama ga enakan
sama sama suka ngirimin shopeefood

fix ini saya versi cowo",positif,ketemu sama cowo sama sama capricorn bulannya sama tanggalnya beda sehari doang sama sama punya tattoo sama sama ga enakan sama sama suka ngirimin fix ini saya versi cowo,ketemu sama cowo sama sama capricorn bulannya sama tanggalnya beda sehari doang sama sama punya tattoo sama sama ga enakan sama sama suka ngirimin fix ini saya versi cowo,"['ketemu', 'sama', 'cowo', 'sama', 'sama', 'capricorn', 'bulannya', 'sama', 'tanggalnya', 'beda', 'sehari', 'doang', 'sama', 'sama', 'punya', 'tattoo', 'sama', 'sama', 'ga', 'enakan', 'sama', 'sama', 'suka', 'ngirimin', 'fix', 'ini', 'saya', 'versi', 'cowo']",ketemu cowo capricorn bulannya tanggalnya beda sehari doang tattoo ga enakan suka ngirimin fix versi cowo
"KNP GW GAPUNYA MOTOR COKKKK ONGKOS GOFOOD GRABFOOD SHOPEEFOOD MAHAL"" NJENGGGGGG",negatif,knp gw gapunya motor cokkkk ongkos gofood grabfood mahal njengggggg,knp gw gapunya motor cokkkk ongkos gofood grabfood mahal njengggggg,"['knp', 'gw', 'gapunya', 'motor', 'cokkkk', 'ongkos', 'gofood', 'grabfood', 'mahal', 'njengggggg']",knp gw gapunya motor cokkkk ongkos gofood grabfood mahal njengggggg
@FOOD_FESS ASLIIII enak dan banyak. dulu bahkan pake shopeefood bisa cuma 15 rb __,positif,asliiii enak dan banyak dulu bahkan pake bisa cuma rb,asliiii enak dan banyak dulu bahkan pake bisa cuma rb,"['asliiii', 'enak', 'dan', 'banyak', 'dulu', 'bahkan', 'pake', 'bisa', 'cuma', 'rb']",asliiii enak pake rb
@Reffi_angel Aku dulu suka bgd pake shopeefood____,positif,aku dulu suka bgd pake,aku dulu suka bgd pake,"['aku', 'dulu', 'suka', 'bgd', 'pake']",suka bgd pake
"jam 1 pagi

*scroll2 shopeefood sejam

ujung2nya bikin indomie __",negatif,jam pagi scroll sejam ujung nya bikin indomie,jam pagi scroll sejam ujung nya bikin indomie,"['jam', 'pagi', 'scroll', 'sejam', 'ujung', 'nya', 'bikin', 'indomie']",jam pagi scroll sejam ujung nya bikin indomie
Sumpah driver shopeefood bisa gaksih ga bikin bete anjing gue kasih 70k yang dateng pesenanya ga sesuai bangsat,negatif,sumpah driver bisa gaksih ga bikin bete anjing gue kasih k yang dateng pesenanya ga sesuai bangsat,sumpah driver bisa gaksih ga bikin bete anjing gue kasih k yang dateng pesenanya ga sesuai bangsat,"['sumpah', 'driver', 'bisa', 'gaksih', 'ga', 'bikin', 'bete', 'anjing', 'gue', 'kasih', 'k', 'yang', 'dateng', 'pesenanya', 'ga', 'sesuai', 'bangsat']",sumpah driver gaksih ga bikin bete anjing gue kasih k dateng pesenanya ga sesuai bangsat
"@ecommurz Pantesan mulai sepi shopeefood, selain habis bahan bakar, pegawainya juga di kurangin",negatif,pantesan mulai sepi selain habis bahan bakar pegawainya juga di kurangin,pantesan mulai sepi selain habis bahan bakar pegawainya juga di kurangin,"['pantesan', 'mulai', 'sepi', 'selain', 'habis', 'bahan', 'bakar', 'pegawainya', 'juga', 'di', 'kurangin']",pantesan sepi habis bahan bakar pegawainya kurangin
Jam segini kepengen sate bumbu kacang. Nyari di gojek dan shopee food pada abis semua yg deket-deket. Keseeelll,negatif,jam segini kepengen sate bumbu kacang nyari di gojek dan pada abis semua yg deketdeket keseeelll,jam segini kepengen sate bumbu kacang nyari di gojek dan pada abis semua yg deketdeket keseeelll,"['jam', 'segini', 'kepengen', 'sate', 'bumbu', 'kacang', 'nyari', 'di', 'gojek', 'dan', 'pada', 'abis', 'semua', 'yg', 'deketdeket', 'keseeelll']",jam segini kepengen sate bumbu kacang nyari gojek abis yg deketdeket keseeelll
Itulah orang suruh prektis masak hari2 ko beli grabfood/shopeefood je,positif,itulah orang suruh prektis masak hari ko beli grabfoodshopeefood je,itulah orang suruh prektis masak hari ko beli grabfoodshopeefood je,"['itulah', 'orang', 'suruh', 'prektis', 'masak', 'hari', 'ko', 'beli', 'grabfoodshopeefood', 'je']",orang suruh prektis masak ko beli grabfoodshopeefood je
